Education,Marital_Status,Income,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Member_Year,Age,Kids,Total_Transactions,Total_Purchases,Campaign_Acc
2,0,58138000.0,58,635000,88000,546000,172000,88000,88000,3,8,10,4,7,0,0,0,0,0,0,1,0,65,0,1617000,22,0
2,0,46344000.0,38,11000,1000,6000,2000,1000,6000,2,1,1,2,5,0,0,0,0,0,0,0,2,68,2,27000,4,0
2,1,71613000.0,26,426000,49000,127000,111000,21000,42000,1,8,2,10,4,0,0,0,0,0,0,0,1,57,0,776000,20,0
2,1,26646000.0,26,11000,4000,20000,10000,3000,5000,2,2,0,4,6,0,0,0,0,0,0,0,2,38,1,53000,6,0
4,1,58293000.0,94,173000,43000,118000,46000,27000,15000,5,5,3,6,5,0,0,0,0,0,0,0,2,41,1,422000,14,0
3,1,62513000.0,16,520000,42000,98000,0,42000,14000,2,6,4,10,6,0,0,0,0,0,0,0,1,55,1,716000,20,0
2,0,55635000.0,34,235000,65000,164000,50000,49000,27000,4,7,3,7,6,0,0,0,0,0,0,0,0,51,1,590000,17,0
4,1,33454000.0,32,76000,10000,56000,3000,1000,23000,2,4,0,4,8,0,0,0,0,0,0,0,1,37,1,169000,8,0
4,1,30351000.0,19,14000,0,24000,3000,3000,2000,1,3,0,2,9,0,0,0,0,0,0,1,1,48,1,46000,5,0
4,1,5648000.0,68,28000,0,6000,1000,1000,13000,1,1,0,0,20,1,0,0,0,0,0,0,2,72,2,49000,1,1
2,1,51381500.0,11,5000,5000,6000,0,2000,1000,1,1,0,2,7,0,0,0,0,0,0,0,1,39,1,19000,3,0
0,1,7500000.0,59,6000,16000,11000,11000,1000,16000,1,2,0,3,8,0,0,0,0,0,0,0,0,46,0,61000,5,0
2,0,63033000.0,82,194000,61000,480000,225000,112000,30000,1,3,4,8,2,0,0,0,0,0,0,0,1,63,0,1102000,15,0
3,0,59354000.0,53,233000,2000,53000,3000,5000,14000,3,6,1,5,6,0,0,0,0,0,0,0,1,70,2,310000,12,0
2,1,17323000.0,38,3000,14000,17000,6000,1000,5000,1,1,0,3,8,0,0,0,0,0,0,0,0,35,0,46000,4,0
4,0,82800000.0,23,1006000,22000,115000,59000,68000,45000,1,7,6,12,3,0,0,1,1,0,0,1,0,76,0,1315000,25,2
2,1,41850000.0,51,53000,5000,19000,2000,13000,4000,3,3,0,3,8,0,0,0,0,0,0,0,0,42,2,96000,6,0
2,1,37760000.0,20,84000,5000,38000,150000,12000,28000,2,4,1,6,7,0,0,0,0,0,0,0,0,76,0,317000,11,0
3,1,76995000.0,91,1012000,80000,498000,0,16000,176000,2,11,4,9,5,0,0,0,1,0,0,0,1,73,1,1782000,24,1
